epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,8480.37,1.45413,1.7593,1.7356,0.20507,0.09019,0.07863,0.02988,2.8559,4.44108,3.03202,0.000299707,0.000299707,0.000299707
104,8560.92,1.4227,1.73331,1.71446,0.13139,0.12467,0.08637,0.04233,2.90421,4.30858,3.2463,0.000288839,0.000288839,0.000288839
105,8644.82,1.42953,1.6868,1.68375,0.10405,0.15045,0.08654,0.04092,2.8892,4.39458,3.16049,0.000278121,0.000278121,0.000278121
106,8729.38,1.44284,1.72729,1.69971,0.12095,0.10643,0.08011,0.03689,2.83304,4.46837,3.07139,0.000267558,0.000267558,0.000267558
107,8814.15,1.43563,1.7204,1.69208,0.09172,0.14191,0.08235,0.033,2.8969,4.44017,3.08768,0.000257154,0.000257154,0.000257154
108,8898.49,1.42747,1.65826,1.6783,0.12231,0.1429,0.06754,0.02693,2.94559,4.54236,3.22206,0.000246915,0.000246915,0.000246915
109,8980.34,1.40029,1.6324,1.67148,0.1228,0.13428,0.07519,0.0294,2.92248,4.49029,3.2367,0.000236844,0.000236844,0.000236844
110,9062.43,1.4321,1.68923,1.66249,0.2102,0.12367,0.09076,0.03645,3.01969,4.36897,3.43368,0.000226946,0.000226946,0.000226946
111,9569.28,1.37449,1.64872,1.66145,0.12744,0.10544,0.0834,0.03603,3.02329,4.42526,3.43218,0.000217225,0.000217225,0.000217225
112,9649.12,1.38094,1.64818,1.62603,0.11261,0.16877,0.08405,0.03889,2.98757,4.48537,3.3011,0.000207686,0.000207686,0.000207686
113,9728.98,1.39266,1.58043,1.6496,0.13084,0.10438,0.07738,0.03573,2.96076,4.57077,3.24447,0.000198333,0.000198333,0.000198333
114,9808.93,1.36547,1.64064,1.63385,0.10641,0.12467,0.07487,0.03457,2.96574,4.48549,3.34081,0.00018917,0.00018917,0.00018917
115,9888.58,1.41931,1.70392,1.68257,0.13659,0.10743,0.07358,0.0352,2.91789,4.57661,3.21741,0.000180201,0.000180201,0.000180201
116,10046.9,1.35067,1.57448,1.60985,0.14506,0.13329,0.08912,0.03634,2.93411,4.54861,3.23835,0.000171429,0.000171429,0.000171429
117,10128.4,1.28481,1.55869,1.58715,0.12282,0.15053,0.08843,0.03959,2.91694,4.61071,3.26023,0.000162859,0.000162859,0.000162859
118,10213.3,1.30695,1.5188,1.5999,0.11734,0.15053,0.07158,0.03225,2.90314,4.64151,3.19359,0.000154495,0.000154495,0.000154495
119,10297.2,1.30958,1.59217,1.57898,0.10342,0.15153,0.06215,0.02855,2.9159,4.6808,3.20133,0.00014634,0.00014634,0.00014634
120,10380,1.36719,1.5778,1.61542,0.09923,0.15053,0.07293,0.03776,2.9491,4.60947,3.25467,0.000138397,0.000138397,0.000138397
121,10463.6,1.31153,1.55359,1.62837,0.12268,0.15053,0.08417,0.04107,2.94646,4.53006,3.31505,0.000130671,0.000130671,0.000130671
122,10546.1,1.32249,1.55376,1.58915,0.12599,0.15053,0.08331,0.04029,2.95715,4.47515,3.32347,0.000123164,0.000123164,0.000123164
123,10628.9,1.29342,1.54564,1.60052,0.11447,0.15053,0.08013,0.03576,2.92772,4.50849,3.28587,0.00011588,0.00011588,0.00011588
124,10711.5,1.31368,1.55357,1.61558,0.11376,0.12467,0.07066,0.03211,2.90829,4.65999,3.19073,0.000108822,0.000108822,0.000108822
125,10794,1.25143,1.44629,1.55256,0.11142,0.13329,0.06884,0.02986,2.92924,4.66903,3.18734,0.000101993,0.000101993,0.000101993
126,10876.4,1.26884,1.4994,1.54297,0.1198,0.13329,0.06467,0.02615,2.96521,4.68604,3.21922,9.53968e-05,9.53968e-05,9.53968e-05
127,10959.1,1.28908,1.47218,1.57314,0.12892,0.15036,0.08994,0.03831,2.94428,4.6377,3.21146,8.90352e-05,8.90352e-05,8.90352e-05
128,11041.5,1.34327,1.55847,1.63476,0.11713,0.14191,0.08714,0.03821,2.92607,4.64478,3.21348,8.29115e-05,8.29115e-05,8.29115e-05
129,11123.9,1.27045,1.46336,1.57508,0.11367,0.13329,0.08546,0.03419,2.9371,4.64867,3.23082,7.70283e-05,7.70283e-05,7.70283e-05
130,11206.1,1.26327,1.4599,1.57006,0.10134,0.12467,0.07966,0.0345,2.93972,4.71154,3.21128,7.13883e-05,7.13883e-05,7.13883e-05
131,11288.8,1.23246,1.45943,1.54013,0.08907,0.14191,0.07131,0.03074,2.93697,4.70619,3.1998,6.59937e-05,6.59937e-05,6.59937e-05
132,11371.1,1.2562,1.43629,1.55028,0.09161,0.14191,0.0708,0.03057,2.93526,4.71687,3.17953,6.08472e-05,6.08472e-05,6.08472e-05
133,11453.4,1.24018,1.39663,1.53054,0.09033,0.1287,0.06896,0.02909,2.93241,4.72294,3.16755,5.59508e-05,5.59508e-05,5.59508e-05
134,11535.5,1.24226,1.45461,1.55054,0.08597,0.12268,0.06914,0.02849,2.97435,4.70996,3.18785,5.13068e-05,5.13068e-05,5.13068e-05
135,11618.8,1.24223,1.41284,1.54591,0.11435,0.11406,0.07345,0.02899,2.99225,4.66453,3.21552,4.69171e-05,4.69171e-05,4.69171e-05
136,11701.6,1.26672,1.47285,1.53573,0.10934,0.14929,0.08368,0.03469,2.97835,4.68775,3.23282,4.27838e-05,4.27838e-05,4.27838e-05
137,11784.9,1.2439,1.42696,1.55427,0.12662,0.15385,0.08529,0.03483,2.98524,4.70311,3.24446,3.89086e-05,3.89086e-05,3.89086e-05
138,11867.8,1.20107,1.39094,1.55487,0.11316,0.15053,0.07496,0.03121,2.9768,4.71684,3.23946,3.52932e-05,3.52932e-05,3.52932e-05
139,11950.7,1.1924,1.40768,1.54286,0.10906,0.14191,0.07023,0.02881,2.95867,4.7145,3.2054,3.19392e-05,3.19392e-05,3.19392e-05
140,12033.8,1.21156,1.37208,1.51899,0.11317,0.13264,0.06666,0.029,2.95076,4.70897,3.20304,2.88481e-05,2.88481e-05,2.88481e-05
141,12117.2,1.35244,1.45569,1.80139,0.10351,0.14191,0.07331,0.03392,2.94662,4.7579,3.16165,2.60212e-05,2.60212e-05,2.60212e-05
142,12206.1,1.34082,1.41798,1.76728,0.12496,0.15153,0.08052,0.03561,2.91684,4.77882,3.17558,2.34598e-05,2.34598e-05,2.34598e-05
143,12299.3,1.29075,1.40133,1.71257,0.12225,0.16015,0.0811,0.03479,2.90788,4.7672,3.19178,2.1165e-05,2.1165e-05,2.1165e-05
144,12390,1.23198,1.2939,1.64458,0.12594,0.15153,0.07859,0.03306,2.91639,4.77316,3.19141,1.91377e-05,1.91377e-05,1.91377e-05
145,12475.2,1.26176,1.34271,1.7131,0.10487,0.14191,0.07807,0.03269,2.91145,4.7664,3.18022,1.7379e-05,1.7379e-05,1.7379e-05
146,12558.1,1.19064,1.26812,1.61027,0.09143,0.13329,0.07178,0.03102,2.9205,4.7699,3.19621,1.58896e-05,1.58896e-05,1.58896e-05
147,12641,1.22772,1.31178,1.67263,0.10388,0.13703,0.07027,0.03134,2.91955,4.75787,3.18772,1.467e-05,1.467e-05,1.467e-05
148,12723.3,1.18252,1.27704,1.61964,0.10106,0.13329,0.07039,0.03128,2.91358,4.72463,3.18235,1.3721e-05,1.3721e-05,1.3721e-05
149,12806.4,1.19631,1.26318,1.64201,0.10291,0.13796,0.07503,0.03578,2.92121,4.71628,3.20098,1.30427e-05,1.30427e-05,1.30427e-05
150,12888.8,1.21009,1.26171,1.67722,0.09295,0.12467,0.07035,0.03099,2.93033,4.7102,3.20894,1.26357e-05,1.26357e-05,1.26357e-05
1,84.1319,2.78603,5.18576,2.76958,0.00177,0.3146,0.019,0.00566,3.12948,7.2172,3.03862,0.000325,0.000325,0.000325
2,167.356,2.64505,4.74173,2.50652,0.00099,0.38352,0.01716,0.00471,3.04094,6.8373,3.16748,0.000662428,0.000662428,0.000662428
3,252.566,2.64575,4.69559,2.49771,0.77194,0.01724,0.00776,0.00279,3.24654,7.24159,3.48098,0.000999566,0.000999566,0.000999566
4,337.134,2.67253,4.4669,2.61955,0.50873,0.04106,0.00271,0.00069,3.14479,7.62123,3.61818,0.00124878,0.00124878,0.00124878
5,422.163,2.73081,4.38785,2.65772,0.50195,0.06692,0.00081,0.00018,3.17294,17.3546,4.13948,0.00124783,0.00124783,0.00124783
6,507.819,2.68033,4.24326,2.53393,0.75162,0.06034,0.00132,0.00027,3.34591,45.6965,4.11669,0.00124661,0.00124661,0.00124661
7,591.426,2.57801,4.17121,2.50565,0.75852,0.11207,0.0138,0.0049,3.1261,19.7696,3.36011,0.00124512,0.00124512,0.00124512
8,674.357,2.63574,4.15929,2.5693,0.7658,0.05172,0.00873,0.00272,3.02122,5.40685,3.05072,0.00124336,0.00124336,0.00124336
9,757.337,2.60696,4.08135,2.5417,0.8425,0.01724,0.02028,0.00438,2.97293,4.76842,2.92059,0.00124134,0.00124134,0.00124134
10,840.261,2.55999,4.03446,2.52913,0.80806,0.02586,0.01697,0.00461,2.87419,4.7706,3.14549,0.00123904,0.00123904,0.00123904
11,924.513,2.54527,4.05854,2.49409,0.51276,0.0431,0.00799,0.00272,3.1676,6.07881,3.40663,0.00123648,0.00123648,0.00123648
12,1009.02,2.58859,3.90445,2.51519,0.78509,0.01724,0.01745,0.00484,2.94167,5.14426,3.03614,0.00123365,0.00123365,0.00123365
13,1111.85,2.51103,3.87302,2.48477,0.75675,0.02586,0.01083,0.00272,2.94327,4.5535,3.03592,0.00123056,0.00123056,0.00123056
14,1200.12,2.47942,3.80914,2.44029,0.54859,0.01724,0.03059,0.00965,2.84006,4.29847,2.95929,0.00122721,0.00122721,0.00122721
15,1289.14,2.52467,3.7849,2.465,0.79107,0.02586,0.01819,0.00587,2.83437,5.20377,2.97197,0.00122359,0.00122359,0.00122359
16,1375.53,2.47605,3.82158,2.45712,0.52472,0.06034,0.01665,0.00514,2.93793,5.31496,3.07002,0.00121972,0.00121972,0.00121972
